"id","user_id","name","slug","description","thumbnail","address","lat","lon","rooms","bedrooms","bathrooms","square_meters","visible","deleted_at","created_at","updated_at"
"1","1","Villa Fiorita","villa-fiorita","Un elegante appartamento con vista panoramica sulla città. Arredamento moderno e spazioso soggiorno. Balcone privato con giardino.","images/wqA7iorhBxJzLLIvU44tQUpohsTDFhHvOZpdyAfY.webp","Via delle Rose, 123, Roma","41.69242","12.77351","5","3","2","120","1",NULL,"2023-10-09 09:04:21","2023-10-09 09:04:21"
"2","1","Casa del Sole","casa-del-sole","Luminoso appartamento con vista sul mare. Cucina completamente attrezzata e ampio soggiorno con terrazza. Parcheggio privato.","images/YeeoqCP4v69ylJ9nT1nZbmkfUdm4dHdH5mlHIAnK.webp","Corso Buenos Aires 54, 20124 Milano","45.4812","9.21196","4","2","1","90","1",NULL,"2023-10-09 09:04:21","2023-10-09 09:04:21"
"3","1","La Dolce Vita","la-dolce-vita","Appartamento di lusso nel cuore di Roma. Interni eleganti, caminetto, e vista sulla famosa scalinata di Trinità dei Monti.","images/YA5CzqTFmdHobXTnLYZQGpE1rdHSHUtvcuL00emU.webp","Piazza di Spagna, 7, Roma","41.90668","12.48174","6","4","3","220","1",NULL,"2023-10-09 09:04:21","2023-10-09 09:04:21"
"4","1","Casa Verde","casa-verde","Appartamento con ampio giardino privato. Design ecologico, cucina all'avanguardia, e zona relax all'aperto.","images/UvV6SqAa51mrO5JEeaIyMx5IRF6s7OlAvP1PFITm.webp","Via dei Giardini, 56, Milano","45.47165","9.19276","4","2","2","150","1",NULL,"2023-10-09 09:04:21","2023-10-09 09:04:21"
"5","1","Bella Vista","bella-vista","Appartamento con vista mozzafiato sul mare. Terrazza panoramica, cucina open space, e accesso diretto alla spiaggia.","images/U3z0obla1XuobHkrsJW3bWvtvNsjsUS2Epr7BD8v.webp","Via Franco Russoli, 20143 Milano","45.44133","9.1658","5","3","2","130","1",NULL,"2023-10-09 09:04:21","2023-10-09 09:12:30"
"6","1","Casa dei Sogni","casa-dei-sogni","Affascinante appartamento in un edificio storico. Soffitti alti, pavimenti in legno originali, e affreschi d'epoca.","images/SPbLfVSuEa4an8TlGeQbwYabjSz0UPZVwtzN0KE1.webp","Via Pietro Filargo, 20143 Milano","45.44321","9.16489","4","2","1","100","1",NULL,"2023-10-09 09:04:21","2023-10-09 09:10:37"
"7","1","Appartamento Moderno","appartamento-moderno","Appartamento contemporaneo con attrezzature di alta tecnologia. Sistema di domotica, vasca idromassaggio, e parcheggio sotterraneo.","images/Efbt7cCoG1szoBBSLNdWu7HtHP2V6PbXRWUSoqez.webp","Via Monte Napoleone 21 A, 20121 Milano","45.46882","9.19443","4","3","2","110","1",NULL,"2023-10-09 09:04:21","2023-10-09 09:04:21"
"8","1","Casa Tranquilla","casa-tranquilla","Appartamento silenzioso in una zona residenziale. Ampio balcone, cucina moderna, e spazio per lo studio o l'ufficio.","images/9m4SA3NMzkcWTHjj2OgQZIzBNyl5xM91KyuKkQJC.webp","Piazza del Duomo, 20121 Milano","45.46369","9.19049","3","2","1","85","1",NULL,"2023-10-09 09:04:21","2023-10-09 09:04:21"
"9","1","Residenza Elegante","residenza-elegante","Appartamento elegante in un palazzo storico. Affacci sul Canal Grande, soffitti con travi a vista, e arredi d'epoca.","images/8VXcxxJJu5eyPZYwhl54O2U2JanYDlsg7yr5Zsux.webp","Via Dante 16, 20121 Milano","45.4676","9.18327","4","2","2","160","1",NULL,"2023-10-09 09:04:21","2023-10-09 09:04:21"
"10","1","Casa di Campagna","casa-di-campagna","Appartamento rustico immerso nella natura. Grande giardino, camino, e cucina con vista panoramica sulle colline umbre.","images/7BgYYnkC4U8AW2294ImW7JVcQOgy3knMWAKRHHLL.webp","Via Ernesto Calindri, 20143 Milano","45.44247","9.16211","5","3","2","180","1",NULL,"2023-10-09 09:04:21","2023-10-09 09:08:26"
